,year,GP name,date,start,finish,statusId,team,driver,dob,circuit name,location,country,driver home,team home
0,2025,Australian Grand Prix,2025-03-16,1,1,1,McLaren,Norris,1999-11-13,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
1,2025,Australian Grand Prix,2025-03-16,3,2,1,Red Bull,Verstappen,1972-03-04,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
2,2025,Australian Grand Prix,2025-03-16,3,2,1,Red Bull,Verstappen,1997-09-30,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
3,2025,Australian Grand Prix,2025-03-16,4,3,1,Mercedes,Russell,1998-02-15,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
4,2025,Australian Grand Prix,2025-03-16,16,4,1,Mercedes,Antonelli,,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
5,2025,Australian Grand Prix,2025-03-16,6,5,1,Williams,Albon,1996-03-23,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
6,2025,Australian Grand Prix,2025-03-16,13,6,1,Aston Martin,Stroll,1998-10-29,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
7,2025,Australian Grand Prix,2025-03-16,17,7,1,Sauber,Hulkenberg,,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
8,2025,Australian Grand Prix,2025-03-16,7,8,1,Ferrari,Leclerc,1997-10-16,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
9,2025,Australian Grand Prix,2025-03-16,2,9,1,McLaren,Piastri,2001-04-06,Albert Park Grand Prix Circuit,Melbourne,AUS,1,0
10,2025,Australian Grand Prix,2025-03-16,8,10,1,Ferrari,Hamilton,1985-01-07,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
11,2025,Australian Grand Prix,2025-03-16,8,10,1,Ferrari,Hamilton,1920-04-30,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
12,2025,Australian Grand Prix,2025-03-16,9,11,1,Alpine,Gasly,1996-02-07,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
13,2025,Australian Grand Prix,2025-03-16,5,12,1,RB F1 Team,Tsunoda,2000-05-11,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
14,2025,Australian Grand Prix,2025-03-16,19,13,1,Haas F1 Team,Ocon,1996-09-17,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
15,2025,Australian Grand Prix,2025-03-16,20,14,1,Haas F1 Team,Bearman,2005-05-08,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
16,2025,Australian Grand Prix,2025-03-16,18,15,3,Red Bull,Lawson,2002-02-11,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
17,2025,Australian Grand Prix,2025-03-16,15,16,3,Sauber,Bortoleto,,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
18,2025,Australian Grand Prix,2025-03-16,12,17,3,Aston Martin,Alonso,1981-07-29,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
19,2025,Australian Grand Prix,2025-03-16,10,18,3,Williams,Sainz,1994-09-01,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
20,2025,Australian Grand Prix,2025-03-16,14,19,3,Alpine,Doohan,2003-01-20,Albert Park Grand Prix Circuit,Melbourne,AUS,1,0
21,2025,Australian Grand Prix,2025-03-16,11,20,3,RB F1 Team,Hadjar,,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
22,2025,Chinese Grand Prix,2025-03-23,1,1,1,McLaren,Piastri,2001-04-06,Shanghai International Circuit,Shanghai,CHI,0,0
23,2025,Chinese Grand Prix,2025-03-23,3,2,1,McLaren,Norris,1999-11-13,Shanghai International Circuit,Shanghai,CHI,0,0
24,2025,Chinese Grand Prix,2025-03-23,2,3,1,Mercedes,Russell,1998-02-15,Shanghai International Circuit,Shanghai,CHI,0,0
25,2025,Chinese Grand Prix,2025-03-23,4,4,1,Red Bull,Verstappen,1972-03-04,Shanghai International Circuit,Shanghai,CHI,0,0
26,2025,Chinese Grand Prix,2025-03-23,4,4,1,Red Bull,Verstappen,1997-09-30,Shanghai International Circuit,Shanghai,CHI,0,0
27,2025,Chinese Grand Prix,2025-03-23,11,5,1,Haas F1 Team,Ocon,1996-09-17,Shanghai International Circuit,Shanghai,CHI,0,0
28,2025,Chinese Grand Prix,2025-03-23,8,6,1,Mercedes,Antonelli,,Shanghai International Circuit,Shanghai,CHI,0,0
29,2025,Chinese Grand Prix,2025-03-23,10,7,1,Williams,Albon,1996-03-23,Shanghai International Circuit,Shanghai,CHI,0,0
30,2025,Chinese Grand Prix,2025-03-23,17,8,1,Haas F1 Team,Bearman,2005-05-08,Shanghai International Circuit,Shanghai,CHI,0,0
31,2025,Chinese Grand Prix,2025-03-23,14,9,1,Aston Martin,Stroll,1998-10-29,Shanghai International Circuit,Shanghai,CHI,0,0
32,2025,Chinese Grand Prix,2025-03-23,15,10,1,Williams,Sainz,1994-09-01,Shanghai International Circuit,Shanghai,CHI,0,0
33,2025,Chinese Grand Prix,2025-03-23,7,11,1,RB F1 Team,Hadjar,,Shanghai International Circuit,Shanghai,CHI,0,0
34,2025,Chinese Grand Prix,2025-03-23,20,12,1,Red Bull,Lawson,2002-02-11,Shanghai International Circuit,Shanghai,CHI,0,0
35,2025,Chinese Grand Prix,2025-03-23,18,13,1,Alpine,Doohan,2003-01-20,Shanghai International Circuit,Shanghai,CHI,0,0
36,2025,Chinese Grand Prix,2025-03-23,19,14,1,Sauber,Bortoleto,,Shanghai International Circuit,Shanghai,CHI,0,0
37,2025,Chinese Grand Prix,2025-03-23,12,15,1,Sauber,Hulkenberg,,Shanghai International Circuit,Shanghai,CHI,0,0
38,2025,Chinese Grand Prix,2025-03-23,9,16,1,RB F1 Team,Tsunoda,2000-05-11,Shanghai International Circuit,Shanghai,CHI,0,0
39,2025,Chinese Grand Prix,2025-03-23,13,17,3,Aston Martin,Alonso,1981-07-29,Shanghai International Circuit,Shanghai,CHI,0,0
40,2025,Chinese Grand Prix,2025-03-23,6,18,1,Ferrari,Leclerc,1997-10-16,Shanghai International Circuit,Shanghai,CHI,0,0
41,2025,Chinese Grand Prix,2025-03-23,5,19,1,Ferrari,Hamilton,1985-01-07,Shanghai International Circuit,Shanghai,CHI,0,0
42,2025,Chinese Grand Prix,2025-03-23,5,19,1,Ferrari,Hamilton,1920-04-30,Shanghai International Circuit,Shanghai,CHI,0,0
43,2025,Chinese Grand Prix,2025-03-23,16,20,1,Alpine,Gasly,1996-02-07,Shanghai International Circuit,Shanghai,CHI,0,0
44,2025,Japanese Grand Prix,2025-04-06,1,1,1,Red Bull,Verstappen,1972-03-04,Suzuka Circuit,Suzuka,JAP,0,0
45,2025,Japanese Grand Prix,2025-04-06,1,1,1,Red Bull,Verstappen,1997-09-30,Suzuka Circuit,Suzuka,JAP,0,0
46,2025,Japanese Grand Prix,2025-04-06,2,2,1,McLaren,Norris,1999-11-13,Suzuka Circuit,Suzuka,JAP,0,0
47,2025,Japanese Grand Prix,2025-04-06,3,3,1,McLaren,Piastri,2001-04-06,Suzuka Circuit,Suzuka,JAP,0,0
48,2025,Japanese Grand Prix,2025-04-06,4,4,1,Ferrari,Leclerc,1997-10-16,Suzuka Circuit,Suzuka,JAP,0,0
49,2025,Japanese Grand Prix,2025-04-06,5,5,1,Mercedes,Russell,1998-02-15,Suzuka Circuit,Suzuka,JAP,0,0
50,2025,Japanese Grand Prix,2025-04-06,6,6,1,Mercedes,Antonelli,,Suzuka Circuit,Suzuka,JAP,0,0
51,2025,Japanese Grand Prix,2025-04-06,8,7,1,Ferrari,Hamilton,1985-01-07,Suzuka Circuit,Suzuka,JAP,0,0
52,2025,Japanese Grand Prix,2025-04-06,8,7,1,Ferrari,Hamilton,1920-04-30,Suzuka Circuit,Suzuka,JAP,0,0
53,2025,Japanese Grand Prix,2025-04-06,7,8,1,RB F1 Team,Hadjar,,Suzuka Circuit,Suzuka,JAP,0,0
54,2025,Japanese Grand Prix,2025-04-06,9,9,1,Williams,Albon,1996-03-23,Suzuka Circuit,Suzuka,JAP,0,0
55,2025,Japanese Grand Prix,2025-04-06,10,10,1,Haas F1 Team,Bearman,2005-05-08,Suzuka Circuit,Suzuka,JAP,0,0
56,2025,Japanese Grand Prix,2025-04-06,12,11,1,Aston Martin,Alonso,1981-07-29,Suzuka Circuit,Suzuka,JAP,0,0
57,2025,Japanese Grand Prix,2025-04-06,14,12,1,Red Bull,Tsunoda,2000-05-11,Suzuka Circuit,Suzuka,JAP,1,0
58,2025,Japanese Grand Prix,2025-04-06,11,13,1,Alpine,Gasly,1996-02-07,Suzuka Circuit,Suzuka,JAP,0,0
59,2025,Japanese Grand Prix,2025-04-06,15,14,1,Williams,Sainz,1994-09-01,Suzuka Circuit,Suzuka,JAP,0,0
60,2025,Japanese Grand Prix,2025-04-06,19,15,1,Alpine,Doohan,2003-01-20,Suzuka Circuit,Suzuka,JAP,0,0
61,2025,Japanese Grand Prix,2025-04-06,16,16,1,Sauber,Hulkenberg,,Suzuka Circuit,Suzuka,JAP,0,0
62,2025,Japanese Grand Prix,2025-04-06,13,17,1,RB F1 Team,Lawson,2002-02-11,Suzuka Circuit,Suzuka,JAP,0,0
63,2025,Japanese Grand Prix,2025-04-06,18,18,1,Haas F1 Team,Ocon,1996-09-17,Suzuka Circuit,Suzuka,JAP,0,0
64,2025,Japanese Grand Prix,2025-04-06,17,19,1,Sauber,Bortoleto,,Suzuka Circuit,Suzuka,JAP,0,0
65,2025,Japanese Grand Prix,2025-04-06,20,20,1,Aston Martin,Stroll,1998-10-29,Suzuka Circuit,Suzuka,JAP,0,0
66,2025,Bahrain Grand Prix,2025-04-13,1,1,1,McLaren,Piastri,2001-04-06,Bahrain International Circuit,Sakhir,BAH,0,0
67,2025,Bahrain Grand Prix,2025-04-13,3,2,1,Mercedes,Russell,1998-02-15,Bahrain International Circuit,Sakhir,BAH,0,0
68,2025,Bahrain Grand Prix,2025-04-13,6,3,1,McLaren,Norris,1999-11-13,Bahrain International Circuit,Sakhir,BAH,0,0
69,2025,Bahrain Grand Prix,2025-04-13,2,4,1,Ferrari,Leclerc,1997-10-16,Bahrain International Circuit,Sakhir,BAH,0,0
70,2025,Bahrain Grand Prix,2025-04-13,9,5,1,Ferrari,Hamilton,1985-01-07,Bahrain International Circuit,Sakhir,BAH,0,0
71,2025,Bahrain Grand Prix,2025-04-13,9,5,1,Ferrari,Hamilton,1920-04-30,Bahrain International Circuit,Sakhir,BAH,0,0
72,2025,Bahrain Grand Prix,2025-04-13,7,6,1,Red Bull,Verstappen,1972-03-04,Bahrain International Circuit,Sakhir,BAH,0,0
73,2025,Bahrain Grand Prix,2025-04-13,7,6,1,Red Bull,Verstappen,1997-09-30,Bahrain International Circuit,Sakhir,BAH,0,0
74,2025,Bahrain Grand Prix,2025-04-13,4,7,1,Alpine,Gasly,1996-02-07,Bahrain International Circuit,Sakhir,BAH,0,0
75,2025,Bahrain Grand Prix,2025-04-13,14,8,1,Haas F1 Team,Ocon,1996-09-17,Bahrain International Circuit,Sakhir,BAH,0,0
76,2025,Bahrain Grand Prix,2025-04-13,10,9,1,Red Bull,Tsunoda,2000-05-11,Bahrain International Circuit,Sakhir,BAH,0,0
77,2025,Bahrain Grand Prix,2025-04-13,20,10,1,Haas F1 Team,Bearman,2005-05-08,Bahrain International Circuit,Sakhir,BAH,0,0
78,2025,Bahrain Grand Prix,2025-04-13,5,11,1,Mercedes,Antonelli,,Bahrain International Circuit,Sakhir,BAH,0,0
79,2025,Bahrain Grand Prix,2025-04-13,15,12,1,Williams,Albon,1996-03-23,Bahrain International Circuit,Sakhir,BAH,0,0
80,2025,Bahrain Grand Prix,2025-04-13,12,13,1,RB F1 Team,Hadjar,,Bahrain International Circuit,Sakhir,BAH,0,0
81,2025,Bahrain Grand Prix,2025-04-13,11,14,1,Alpine,Doohan,2003-01-20,Bahrain International Circuit,Sakhir,BAH,0,0
82,2025,Bahrain Grand Prix,2025-04-13,13,15,1,Aston Martin,Alonso,1981-07-29,Bahrain International Circuit,Sakhir,BAH,0,0
83,2025,Bahrain Grand Prix,2025-04-13,17,16,1,RB F1 Team,Lawson,2002-02-11,Bahrain International Circuit,Sakhir,BAH,0,0
84,2025,Bahrain Grand Prix,2025-04-13,19,17,1,Aston Martin,Stroll,1998-10-29,Bahrain International Circuit,Sakhir,BAH,0,0
85,2025,Bahrain Grand Prix,2025-04-13,18,18,1,Sauber,Bortoleto,,Bahrain International Circuit,Sakhir,BAH,0,0
86,2025,Bahrain Grand Prix,2025-04-13,8,19,3,Williams,Sainz,1994-09-01,Bahrain International Circuit,Sakhir,BAH,0,0
87,2025,Bahrain Grand Prix,2025-04-13,16,20,1,Sauber,Hulkenberg,,Bahrain International Circuit,Sakhir,BAH,0,0
88,2025,Saudi Arabian Grand Prix,2025-04-20,2,1,1,McLaren,Piastri,2001-04-06,Jeddah Corniche Circuit,Jeddah,SAU,0,0
89,2025,Saudi Arabian Grand Prix,2025-04-20,1,2,1,Red Bull,Verstappen,1972-03-04,Jeddah Corniche Circuit,Jeddah,SAU,0,0
90,2025,Saudi Arabian Grand Prix,2025-04-20,1,2,1,Red Bull,Verstappen,1997-09-30,Jeddah Corniche Circuit,Jeddah,SAU,0,0
91,2025,Saudi Arabian Grand Prix,2025-04-20,4,3,1,Ferrari,Leclerc,1997-10-16,Jeddah Corniche Circuit,Jeddah,SAU,0,0
92,2025,Saudi Arabian Grand Prix,2025-04-20,10,4,1,McLaren,Norris,1999-11-13,Jeddah Corniche Circuit,Jeddah,SAU,0,0
93,2025,Saudi Arabian Grand Prix,2025-04-20,3,5,1,Mercedes,Russell,1998-02-15,Jeddah Corniche Circuit,Jeddah,SAU,0,0
94,2025,Saudi Arabian Grand Prix,2025-04-20,5,6,1,Mercedes,Antonelli,,Jeddah Corniche Circuit,Jeddah,SAU,0,0
95,2025,Saudi Arabian Grand Prix,2025-04-20,7,7,1,Ferrari,Hamilton,1985-01-07,Jeddah Corniche Circuit,Jeddah,SAU,0,0
96,2025,Saudi Arabian Grand Prix,2025-04-20,7,7,1,Ferrari,Hamilton,1920-04-30,Jeddah Corniche Circuit,Jeddah,SAU,0,0
97,2025,Saudi Arabian Grand Prix,2025-04-20,6,8,1,Williams,Sainz,1994-09-01,Jeddah Corniche Circuit,Jeddah,SAU,0,0
98,2025,Saudi Arabian Grand Prix,2025-04-20,11,9,1,Williams,Albon,1996-03-23,Jeddah Corniche Circuit,Jeddah,SAU,0,0
99,2025,Saudi Arabian Grand Prix,2025-04-20,14,10,1,RB F1 Team,Hadjar,,Jeddah Corniche Circuit,Jeddah,SAU,0,0
100,2025,Saudi Arabian Grand Prix,2025-04-20,13,11,1,Aston Martin,Alonso,1981-07-29,Jeddah Corniche Circuit,Jeddah,SAU,0,0
101,2025,Saudi Arabian Grand Prix,2025-04-20,12,12,1,RB F1 Team,Lawson,2002-02-11,Jeddah Corniche Circuit,Jeddah,SAU,0,0
102,2025,Saudi Arabian Grand Prix,2025-04-20,15,13,1,Haas F1 Team,Bearman,2005-05-08,Jeddah Corniche Circuit,Jeddah,SAU,0,0
103,2025,Saudi Arabian Grand Prix,2025-04-20,19,14,1,Haas F1 Team,Ocon,1996-09-17,Jeddah Corniche Circuit,Jeddah,SAU,0,0
104,2025,Saudi Arabian Grand Prix,2025-04-20,18,15,1,Sauber,Hulkenberg,,Jeddah Corniche Circuit,Jeddah,SAU,0,0
105,2025,Saudi Arabian Grand Prix,2025-04-20,16,16,1,Aston Martin,Stroll,1998-10-29,Jeddah Corniche Circuit,Jeddah,SAU,0,0
106,2025,Saudi Arabian Grand Prix,2025-04-20,17,17,1,Alpine,Doohan,2003-01-20,Jeddah Corniche Circuit,Jeddah,SAU,0,0
107,2025,Saudi Arabian Grand Prix,2025-04-20,20,18,1,Sauber,Bortoleto,,Jeddah Corniche Circuit,Jeddah,SAU,0,0
108,2025,Saudi Arabian Grand Prix,2025-04-20,8,19,3,Red Bull,Tsunoda,2000-05-11,Jeddah Corniche Circuit,Jeddah,SAU,0,0
109,2025,Saudi Arabian Grand Prix,2025-04-20,9,20,3,Alpine,Gasly,1996-02-07,Jeddah Corniche Circuit,Jeddah,SAU,0,0
110,2025,Miami Grand Prix,2025-05-04,4,1,1,McLaren,Piastri,2001-04-06,Miami International Autodrome,Miami,AME,0,0
111,2025,Miami Grand Prix,2025-05-04,2,2,1,McLaren,Norris,1999-11-13,Miami International Autodrome,Miami,AME,0,0
112,2025,Miami Grand Prix,2025-05-04,5,3,1,Mercedes,Russell,1998-02-15,Miami International Autodrome,Miami,AME,0,0
113,2025,Miami Grand Prix,2025-05-04,1,4,1,Red Bull,Verstappen,1972-03-04,Miami International Autodrome,Miami,AME,0,0
114,2025,Miami Grand Prix,2025-05-04,1,4,1,Red Bull,Verstappen,1997-09-30,Miami International Autodrome,Miami,AME,0,0
